scheduler, patronID, drinkName, execTime,arrivalTime, serviceStartTime, completionTime,waitingTime, responseTime, turnaroundTime, queueLevel
SJF,18,Beer,25,1778882518616,1778882518616,1778882518641,0,0,25,0
SJF,0,Beer,25,1778882539397,1778882539398,1778882539423,1,1,26,0
SJF,1,White Wine,25,1778882539509,1778882539509,1778882539534,0,0,25,0
SJF,0,Margarita,75,1778882539524,1778882539536,1778882539611,12,12,87,0
SJF,1,B52,200,1778882539685,1778882539685,1778882539885,0,0,200,0
SJF,2,Tequila shot,20,1778882539688,1778882539887,1778882539907,199,199,219,0
SJF,0,Beer,25,1778882539692,1778882539909,1778882539934,217,217,242,0
SJF,1,White Wine,25,1778882539895,1778882539936,1778882539961,41,41,66,0
SJF,4,Draft Beer,50,1778882539841,1778882539963,1778882540013,122,122,172,0
SJF,6,Gin and Tonic,40,1778882539986,1778882540015,1778882540055,29,29,69,0
SJF,0,Beer,25,1778882540035,1778882540057,1778882540082,22,22,47,0
SJF,7,White Wine,25,1778882540081,1778882540084,1778882540109,3,3,28,0
SJF,3,Cosmopolitan,65,1778882539805,1778882540111,1778882540176,306,306,371,0
SJF,6,White Wine,25,1778882540166,1778882540178,1778882540203,12,12,37,0
SJF,0,White Wine,25,1778882540182,1778882540205,1778882540230,23,23,48,0
SJF,1,Draft Beer,50,1778882540112,1778882540232,1778882540282,120,120,170,0
SJF,7,Gin and Tonic,40,1778882540259,1778882540283,1778882540324,24,24,65,0
SJF,4,Cosmopolitan,65,1778882540114,1778882540326,1778882540391,212,212,277,0
SJF,6,Beer,25,1778882540353,1778882540393,1778882540418,40,40,65,0
